ID,title,prio,descr,impact,criticality
20466922-7d57-4e76-b14c-e53fd97dcb11,CFR non-compliance,3,Recent restructuring might violate CFR code 71,10000,5
20466922-7d57-4e76-b14c-e53fd97dcb12,SLA violation with possible termination cause,2,Repeated SAL violation on service delivery for two successive quarters,90000,3
20466922-7d57-4e76-b14c-e53fd97dcb13,Shipment violating export control,1,Violation of export and trade control with unauthorized downloads,200000,2
3f2504e0-4f89-11d3-9a0c-0305e82c3301,Risk of data breach,5,Potential risk of customer data being exposed,80000,5
3f2504e0-4f89-11d3-9a0c-0305e82c3303,Risk of system downtime,3,Potential risk of system going down during peak hours,70000,3
3f2504e0-4f89-11d3-9a0c-0305e82c3305,Risk of non-compliance,2,Potential risk of not meeting regulatory compliance,6000,1
3f2504e0-4f89-11d3-9a0c-0305e82c3307,Risk of financial loss,5,Potential risk of significant financial loss,90000,4
3f2504e0-4f89-11d3-9a0c-0305e82c3309,Risk of reputational damage,4,Potential risk of damage to company's reputation,7000,5
3f2504e0-4f89-11d3-9a0c-0305e82c3311,Risk of operational disruption,1,Potential risk of disruption to operations,50000,3
3f2504e0-4f89-11d3-9a0c-0305e82c3313,Risk of legal issues,5,Potential risk of facing legal issues,8000,5
3f2504e0-4f89-11d3-9a0c-0305e82c3315,Risk of security breach,3,Potential risk of a security breach,700000,3
3f2504e0-4f89-11d3-9a0c-0305e82c3317,Risk of product failure,1,Potential risk of a product failing to meet customer expectations,30000,1
3f2504e0-4f89-11d3-9a0c-0305e82c3319,Risk of project delay,4,Potential risk of project delays,900000,4
